edgeId,edge,activationMechanism,productId,productName,workload,config,perturbation,T_e,alpha_e,q_e,pi_e,impactType
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P1,Express,EXPRESS_SIMPLE_SEND,,DROP_COMPLETION,1,0,,0,NONE
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P1,Express,EXPRESS_SIMPLE_SEND,,CORRUPT_ERROR,1,0,,0,NONE
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P1,Express,EXPRESS_SIMPLE_SEND,,DELAY_COMPLETION,1,0,,0,NONE
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P1,Express,EXPRESS_SEND_FILE,,BASELINE,1,1,0,0,NONE
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P1,Express,EXPRESS_SEND_FILE,,DROP_COMPLETION,1,1,1,1,COMPLETION_SUPPRESSION
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P1,Express,EXPRESS_SEND_FILE,,CORRUPT_ERROR,1,1,1,1,ERROR_CORRUPTION
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P1,Express,EXPRESS_SEND_FILE,,DELAY_COMPLETION,1,1,1,1,LATENCY
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P3,Morgan,MORGAN_NORMAL_REQUEST,,BASELINE,1,1,0,0,NONE
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P3,Morgan,MORGAN_NORMAL_REQUEST,,DROP_COMPLETION,1,1,1,1,COMPLETION_SUPPRESSION
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P3,Morgan,MORGAN_NORMAL_REQUEST,,CORRUPT_ERROR,1,1,1,1,ERROR_CORRUPTION
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P3,Morgan,MORGAN_NORMAL_REQUEST,,DELAY_COMPLETION,1,1,1,1,LATENCY
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P3,Morgan,MORGAN_IMMEDIATE_REQUEST,,BASELINE,1,0,,0,NONE
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P3,Morgan,MORGAN_IMMEDIATE_REQUEST,,DROP_COMPLETION,1,0,,0,NONE
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P3,Morgan,MORGAN_IMMEDIATE_REQUEST,,CORRUPT_ERROR,1,0,,0,NONE
E2,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned (parent API/path actually invokes downstream edge),P3,Morgan,MORGAN_IMMEDIATE_REQUEST,,DELAY_COMPLETION,1,0,,0,NONE
