"productId","product","workload","perturbation","topologyPresent","loadRate","activationRate","activeTrials","impactedTrials","qHatConditionalOnActive","piHat","impactType"
"P2","express-session","SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED","DROP_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_DROP"
"P2","express-session","SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED","DUPLICATE_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_DUPLICATION"
"P2","express-session","SESSION_MISSING_SECRET","BASELINE","1","1","1","5","0","0","0","NONE"
"P2","express-session","SESSION_MISSING_SECRET","CORRUPT_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_CORRUPTION"
"P2","express-session","SESSION_MISSING_SECRET","DELAY_WARNING","1","1","1","5","5","1","1","LATENCY"
"P2","express-session","SESSION_MISSING_SECRET","DROP_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_DROP"
"P2","express-session","SESSION_MISSING_SECRET","DUPLICATE_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_DUPLICATION"
"P2","express-session","SESSION_VALID_OPTIONS","BASELINE","1","1","0","0","0","","0","NONE"
"P2","express-session","SESSION_VALID_OPTIONS","CORRUPT_WARNING","1","1","0","0","0","","0","NONE"
"P2","express-session","SESSION_VALID_OPTIONS","DELAY_WARNING","1","1","0","0","0","","0","NONE"
"P2","express-session","SESSION_VALID_OPTIONS","DROP_WARNING","1","1","0","0","0","","0","NONE"
"P2","express-session","SESSION_VALID_OPTIONS","DUPLICATE_WARNING","1","1","0","0","0","","0","NONE"
"P3","Morgan","MORGAN_COMBINED","BASELINE","1","1","0","0","0","","0","NONE"
"P3","Morgan","MORGAN_COMBINED","CORRUPT_WARNING","1","1","0","0","0","","0","NONE"
"P3","Morgan","MORGAN_COMBINED","DELAY_WARNING","1","1","0","0","0","","0","NONE"
"P3","Morgan","MORGAN_COMBINED","DROP_WARNING","1","1","0","0","0","","0","NONE"
"P3","Morgan","MORGAN_COMBINED","DUPLICATE_WARNING","1","1","0","0","0","","0","NONE"
"P3","Morgan","MORGAN_LEGACY_OPTIONS_OBJECT","BASELINE","1","1","1","5","0","0","0","NONE"
"P3","Morgan","MORGAN_LEGACY_OPTIONS_OBJECT","CORRUPT_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_CORRUPTION"
"P3","Morgan","MORGAN_LEGACY_OPTIONS_OBJECT","DELAY_WARNING","1","1","1","5","5","1","1","LATENCY"
"P3","Morgan","MORGAN_LEGACY_OPTIONS_OBJECT","DROP_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_DROP"
"P3","Morgan","MORGAN_LEGACY_OPTIONS_OBJECT","DUPLICATE_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_DUPLICATION"
"P3","Morgan","MORGAN_UNDEFINED_FORMAT","BASELINE","1","1","1","5","0","0","0","NONE"
"P3","Morgan","MORGAN_UNDEFINED_FORMAT","CORRUPT_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_CORRUPTION"
"P3","Morgan","MORGAN_UNDEFINED_FORMAT","DELAY_WARNING","1","1","1","5","5","1","1","LATENCY"
"P3","Morgan","MORGAN_UNDEFINED_FORMAT","DROP_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_DROP"
"P3","Morgan","MORGAN_UNDEFINED_FORMAT","DUPLICATE_WARNING","1","1","1","5","5","1","1","OBSERVABILITY_DUPLICATION"
