componentId,componentType,component,activationMechanism,productId,product,workload,configuration,contextKey,perturbation,topologyPresent,loadRate,activationRate,qHatConditionalOnActive,piHat,activeTrials,impactedTrials,impactType
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_REQUIRE_ONLY,,P1::workload=EXPRESS_REQUIRE_ONLY,BASELINE,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_REQUIRE_ONLY,,P1::workload=EXPRESS_REQUIRE_ONLY,CORRUPT_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_REQUIRE_ONLY,,P1::workload=EXPRESS_REQUIRE_ONLY,DELAY_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_REQUIRE_ONLY,,P1::workload=EXPRESS_REQUIRE_ONLY,DROP_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1,Express,EXPRESS_REQUIRE_ONLY,,P1::workload=EXPRESS_REQUIRE_ONLY,DUPLICATE_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED,,P2::workload=SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED,BASELINE,1,1,1,0,0,5,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED,,P2::workload=SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED,CORRUPT_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_CORRUPTION
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED,,P2::workload=SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED,DELAY_WARNING,1,1,1,1,1,5,5,LATENCY
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED,,P2::workload=SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED,DROP_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_DROP
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED,,P2::workload=SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED,DUPLICATE_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_DUPLICATION
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_MISSING_SECRET,,P2::workload=SESSION_MISSING_SECRET,BASELINE,1,1,1,0,0,5,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_MISSING_SECRET,,P2::workload=SESSION_MISSING_SECRET,CORRUPT_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_CORRUPTION
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_MISSING_SECRET,,P2::workload=SESSION_MISSING_SECRET,DELAY_WARNING,1,1,1,1,1,5,5,LATENCY
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_MISSING_SECRET,,P2::workload=SESSION_MISSING_SECRET,DROP_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_DROP
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_MISSING_SECRET,,P2::workload=SESSION_MISSING_SECRET,DUPLICATE_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_DUPLICATION
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_VALID_OPTIONS,,P2::workload=SESSION_VALID_OPTIONS,BASELINE,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_VALID_OPTIONS,,P2::workload=SESSION_VALID_OPTIONS,CORRUPT_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_VALID_OPTIONS,,P2::workload=SESSION_VALID_OPTIONS,DELAY_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_VALID_OPTIONS,,P2::workload=SESSION_VALID_OPTIONS,DROP_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P2,express-session,SESSION_VALID_OPTIONS,,P2::workload=SESSION_VALID_OPTIONS,DUPLICATE_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_COMBINED,,P3::workload=MORGAN_COMBINED,BASELINE,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_COMBINED,,P3::workload=MORGAN_COMBINED,CORRUPT_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_COMBINED,,P3::workload=MORGAN_COMBINED,DELAY_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_COMBINED,,P3::workload=MORGAN_COMBINED,DROP_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_COMBINED,,P3::workload=MORGAN_COMBINED,DUPLICATE_WARNING,1,1,0,,0,0,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_LEGACY_OPTIONS_OBJECT,,P3::workload=MORGAN_LEGACY_OPTIONS_OBJECT,BASELINE,1,1,1,0,0,5,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_LEGACY_OPTIONS_OBJECT,,P3::workload=MORGAN_LEGACY_OPTIONS_OBJECT,CORRUPT_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_CORRUPTION
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_LEGACY_OPTIONS_OBJECT,,P3::workload=MORGAN_LEGACY_OPTIONS_OBJECT,DELAY_WARNING,1,1,1,1,1,5,5,LATENCY
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_LEGACY_OPTIONS_OBJECT,,P3::workload=MORGAN_LEGACY_OPTIONS_OBJECT,DROP_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_DROP
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_LEGACY_OPTIONS_OBJECT,,P3::workload=MORGAN_LEGACY_OPTIONS_OBJECT,DUPLICATE_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_DUPLICATION
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_UNDEFINED_FORMAT,,P3::workload=MORGAN_UNDEFINED_FORMAT,BASELINE,1,1,1,0,0,5,0,NONE
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_UNDEFINED_FORMAT,,P3::workload=MORGAN_UNDEFINED_FORMAT,CORRUPT_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_CORRUPTION
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_UNDEFINED_FORMAT,,P3::workload=MORGAN_UNDEFINED_FORMAT,DELAY_WARNING,1,1,1,1,1,5,5,LATENCY
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_UNDEFINED_FORMAT,,P3::workload=MORGAN_UNDEFINED_FORMAT,DROP_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_DROP
N1,NODE,depd@2.0.0,workload-conditioned invocation,P3,Morgan,MORGAN_UNDEFINED_FORMAT,,P3::workload=MORGAN_UNDEFINED_FORMAT,DUPLICATE_WARNING,1,1,1,1,1,5,5,OBSERVABILITY_DUPLICATION
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P2,express-session,,ACTIVE_COLORS_ON,P2::configuration=ACTIVE_COLORS_ON,BASELINE,1,1,1,0,0,5,0,NONE
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P2,express-session,,ACTIVE_COLORS_ON,P2::configuration=ACTIVE_COLORS_ON,CORRUPT_HUMANIZE,1,1,1,1,1,5,5,OBSERVABILITY_CORRUPTION
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P2,express-session,,ACTIVE_COLORS_ON,P2::configuration=ACTIVE_COLORS_ON,DELAY_HUMANIZE,1,1,1,1,1,5,5,LATENCY
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P2,express-session,,ACTIVE_COLORS_ON,P2::configuration=ACTIVE_COLORS_ON,EMPTY_HUMANIZE,1,1,1,1,1,5,5,OBSERVABILITY_SUPPRESSION
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P2,express-session,,INACTIVE_COLORS_OFF,P2::configuration=INACTIVE_COLORS_OFF,BASELINE,1,1,0,,0,0,0,NONE
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P2,express-session,,INACTIVE_COLORS_OFF,P2::configuration=INACTIVE_COLORS_OFF,CORRUPT_HUMANIZE,1,1,0,,0,0,0,NONE
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P2,express-session,,INACTIVE_COLORS_OFF,P2::configuration=INACTIVE_COLORS_OFF,DELAY_HUMANIZE,1,1,0,,0,0,0,NONE
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P2,express-session,,INACTIVE_COLORS_OFF,P2::configuration=INACTIVE_COLORS_OFF,EMPTY_HUMANIZE,1,1,0,,0,0,0,NONE
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P3,Morgan,,ACTIVE_COLORS_ON,P3::configuration=ACTIVE_COLORS_ON,BASELINE,1,1,1,0,0,5,0,NONE
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P3,Morgan,,ACTIVE_COLORS_ON,P3::configuration=ACTIVE_COLORS_ON,CORRUPT_HUMANIZE,1,1,1,1,1,5,5,OBSERVABILITY_CORRUPTION
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P3,Morgan,,ACTIVE_COLORS_ON,P3::configuration=ACTIVE_COLORS_ON,DELAY_HUMANIZE,1,1,1,1,1,5,5,LATENCY
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P3,Morgan,,ACTIVE_COLORS_ON,P3::configuration=ACTIVE_COLORS_ON,EMPTY_HUMANIZE,1,1,1,1,1,5,5,OBSERVABILITY_SUPPRESSION
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P3,Morgan,,INACTIVE_COLORS_OFF,P3::configuration=INACTIVE_COLORS_OFF,BASELINE,1,1,0,,0,0,0,NONE
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P3,Morgan,,INACTIVE_COLORS_OFF,P3::configuration=INACTIVE_COLORS_OFF,CORRUPT_HUMANIZE,1,1,0,,0,0,0,NONE
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P3,Morgan,,INACTIVE_COLORS_OFF,P3::configuration=INACTIVE_COLORS_OFF,DELAY_HUMANIZE,1,1,0,,0,0,0,NONE
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P3,Morgan,,INACTIVE_COLORS_OFF,P3::configuration=INACTIVE_COLORS_OFF,EMPTY_HUMANIZE,1,1,0,,0,0,0,NONE
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P1,Express,EXPRESS_SIMPLE_SEND,,P1::workload=EXPRESS_SIMPLE_SEND,BASELINE,1,1,0,,0,,,NONE
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P1,Express,EXPRESS_SIMPLE_SEND,,P1::workload=EXPRESS_SIMPLE_SEND,DROP_COMPLETION,1,1,0,,0,,,NONE
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P1,Express,EXPRESS_SIMPLE_SEND,,P1::workload=EXPRESS_SIMPLE_SEND,CORRUPT_ERROR,1,1,0,,0,,,NONE
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P1,Express,EXPRESS_SIMPLE_SEND,,P1::workload=EXPRESS_SIMPLE_SEND,DELAY_COMPLETION,1,1,0,,0,,,NONE
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P1,Express,EXPRESS_SEND_FILE,,P1::workload=EXPRESS_SEND_FILE,BASELINE,1,1,1,0,0,,,NONE
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P1,Express,EXPRESS_SEND_FILE,,P1::workload=EXPRESS_SEND_FILE,DROP_COMPLETION,1,1,1,1,1,,,COMPLETION_SUPPRESSION
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P1,Express,EXPRESS_SEND_FILE,,P1::workload=EXPRESS_SEND_FILE,CORRUPT_ERROR,1,1,1,1,1,,,ERROR_CORRUPTION
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P1,Express,EXPRESS_SEND_FILE,,P1::workload=EXPRESS_SEND_FILE,DELAY_COMPLETION,1,1,1,1,1,,,LATENCY
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P3,Morgan,MORGAN_NORMAL_REQUEST,,P3::workload=MORGAN_NORMAL_REQUEST,BASELINE,1,1,1,0,0,,,NONE
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P3,Morgan,MORGAN_NORMAL_REQUEST,,P3::workload=MORGAN_NORMAL_REQUEST,DROP_COMPLETION,1,1,1,1,1,,,COMPLETION_SUPPRESSION
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P3,Morgan,MORGAN_NORMAL_REQUEST,,P3::workload=MORGAN_NORMAL_REQUEST,CORRUPT_ERROR,1,1,1,1,1,,,ERROR_CORRUPTION
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P3,Morgan,MORGAN_NORMAL_REQUEST,,P3::workload=MORGAN_NORMAL_REQUEST,DELAY_COMPLETION,1,1,1,1,1,,,LATENCY
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P3,Morgan,MORGAN_IMMEDIATE_REQUEST,,P3::workload=MORGAN_IMMEDIATE_REQUEST,BASELINE,1,1,0,,0,,,NONE
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P3,Morgan,MORGAN_IMMEDIATE_REQUEST,,P3::workload=MORGAN_IMMEDIATE_REQUEST,DROP_COMPLETION,1,1,0,,0,,,NONE
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P3,Morgan,MORGAN_IMMEDIATE_REQUEST,,P3::workload=MORGAN_IMMEDIATE_REQUEST,CORRUPT_ERROR,1,1,0,,0,,,NONE
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P3,Morgan,MORGAN_IMMEDIATE_REQUEST,,P3::workload=MORGAN_IMMEDIATE_REQUEST,DELAY_COMPLETION,1,1,0,,0,,,NONE
